team,team.id,player,position,minutes.played,mp.percentage,age,new.signing
Arsenal,001,Manuela Zinsberger,GK,1080,80.00,23,0
Arsenal,001,Lydia Williams,GK,0,0.00,32,1
Arsenal,001,Fran Stenson,GK,0,0.00,19,0
Arsenal,001,Jennifer Beattie,DEF,822,60.89,28,0
Arsenal,001,Leah Williamson,DEF,1290,95.56,22,0
Arsenal,001,Steph Catley,DEF,0,0.00,26,1
Arsenal,001,Leonie Maier,DEF,686,50.81,26,0
Arsenal,001,Viktoria Schnaderbeck,DEF,876,64.89,28,0
Arsenal,001,Danielle Van de Donk,MF,1277,94.59,27,0
Arsenal,001,Jordan Nobbs,MF,1037,76.81,26,0
Arsenal,001,Kim Little,MF,1055,78.15,29,0
Arsenal,001,Lia Walti,MF,794,58.81,26,0
Arsenal,001,Jill Roord,MF,848,62.81,22,0
Arsenal,001,Noelle Maritz,MF,0,0.00,24,1
Arsenal,001,Malin Gut,MF,0,0.00,19,1
Arsenal,001,Vivianne Miedema,FWD,1226,90.81,23,0
Arsenal,001,Katie McCabe,FWD,1047,77.56,23,0
Arsenal,001,Lisa Evans,FWD,1266,93.78,27,0
Arsenal,001,Caitlin Foord,FWD,0,0.00,25,0
Arsenal,001,Beth Mead,FWD,976,72.30,24,0
Aston Villa,002,Sian Rogers,GK,,,,0
Aston Villa,002,Lisa Weiss,GK,0,,,1
Aston Villa,002,Asmita Ale,DEF,,,,0
Aston Villa,002,Ella Franklin-Fraiture,DEF,,,,0
Aston Villa,002,Elisha N'Dow,DEF,,,,0
Aston Villa,002,Natalie Haigh,DEF,,,,0
Aston Villa,002,Marisa Ewers,DEF,,,,0
Aston Villa,002,Anita Asante,DEF,0,,,1
Aston Villa,002,Caroline Siems,DEF,0,,,1
Aston Villa,002,Amy West,MF,,,,0
Aston Villa,002,Emily Syme,MF,,,,0
Aston Villa,002,Nadine Hanssen,MF,,,,0
Aston Villa,002,Emma Follis,MF,,,,0
Aston Villa,002,Chloe Arthur,MF,0,,,1
Aston Villa,002,Freya Gregory,MF,,,,0
Aston Villa,002,Ramona Petzelberger,MF,0,,,1
Aston Villa,002,Jodie Hutton,FWD,,,,0
Aston Villa,002,Sophie Haywood,FWD,,,,0
Aston Villa,002,Shania Hayles,FWD,,,,0
Aston Villa,002,Diana Silva,FWD,0,,,1
